,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MBO_SEQNUM_RT,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ORDER_ID_RT
0,MARKET_BY_ORDER,TABLE_INITPAINT,730145003912.0,HK,14112,REPLACE,TOP-RBP,40.0,TOPBROKER,DECIMAL,2.0,3.0,HKD,HKD,2000.0,970 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MARKET_BY_LEVEL,TABLE_INITPAINT,730145003912.0,HK,14112,REPLACE,MBL-RBP,,CLOB,DECIMAL,2.0,3.0,HKD,HKD,2000.0,970 HK Equity.type=MBL,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,MARKET_BY_ORDER,TABLE_INITPAINT,730145003912.0,HK,53714,ADD,MBO-AMD,1000.0,CLOB,DECIMAL,2.0,3.0,HKD,HKD,2000.0,970 HK Equity.type=MBO,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
3,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,1.0,1.0,,1.0,10000.0,2023-06-23 01:00:10.256000,,,,,,,,,,,,,,,,,
4,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,1.0,1.0, 298,,0.0,2023-06-23 01:00:10,,,,,,,,,,,
5,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:02:14,1.0,0.8199999928474426,8305,,0.0,,,,,,
6,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:02:14.385000,,,,,,,,,,,,1.0,0.8199999928474426,,1.0,2000.0,
7,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:18:38.292000,,,,,,,,,,,,1.0,0.8299999833106995,,1.0,2000.0,
8,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:18:38.292000,,,,,,,,,,,,2.0,0.8199999928474426,,1.0,2000.0,
9,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:18:38,1.0,0.8299999833106995,5256,,0.0,,,,,,
