,Time,Stock_code,Market_type,Fragment_type,Market_subtype,MD_TABLE_CMD_RT,MBO_SEQNUM_RT,MBO_ORDER_ID_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_SIZE_RT,MBO_ASK_BROKER_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_SIZE_RT,MBO_BID_BROKER_RT,MBO_TIME_RT,MBO_BID_COND_CODE_RT,MBO_ASK_COND_CODE_RT
0,"""09:00:02.1235""",2660,TOP,NONE,BID,REPLACE,,,,,,,1.0,1.26000022888184,0.0,"""1978""","""2021-08-12T09:00:01.000+08:00""","""""",
1,"""09:00:04.2995""",2660,TOP,NONE,BID,REPLACE,,,,,,,2.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:00:04.000+08:00""","""""",
2,"""09:00:04.3080""",2660,TOP,NONE,BID,REPLACE,,,,,,,3.0,1.22000026702881,0.0,"""6699""","""2021-08-12T09:00:04.000+08:00""","""""",
3,"""09:00:10.2160""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:00:10.000+08:00""","""""",
4,"""09:00:10.6649""",2660,TOP,NONE,BID,REPLACE,,,,,,,2.0,1.25,0.0,""" 249""","""2021-08-12T09:00:10.000+08:00""","""""",
5,"""09:00:10.6649""",2660,TOP,NONE,BID,REPLACE,,,,,,,3.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:00:10.000+08:00""","""""",
6,"""09:00:10.6649""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.22000026702881,0.0,"""6699""","""2021-08-12T09:00:10.000+08:00""","""""",
7,"""09:00:10.6649""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:00:10.000+08:00""","""""",
8,"""09:00:41.2624""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:00:41.000+08:00""","""""",
9,"""09:00:42.2039""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:00:42.000+08:00""","""""",
10,"""09:00:42.2039""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:00:42.000+08:00""","""""",
11,"""09:00:47.1771""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:00:47.000+08:00""","""""",
12,"""09:00:47.1771""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:00:47.000+08:00""","""""",
13,"""09:00:47.1771""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:00:47.000+08:00""","""""",
14,"""09:00:47.1782""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:00:47.000+08:00""","""""",
15,"""09:01:46.3712""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:01:46.000+08:00""","""""",
16,"""09:01:46.3722""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:01:46.000+08:00""","""""",
17,"""09:01:46.3722""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:01:46.000+08:00""","""""",
18,"""09:01:46.3722""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:01:46.000+08:00""","""""",
19,"""09:01:49.6030""",2660,TOP,NONE,BID,REPLACE,,,,,,,2.0,1.26000022888184,0.0,"""2245""","""2021-08-12T09:01:49.000+08:00""","""""",
20,"""09:01:49.6030""",2660,TOP,NONE,BID,REPLACE,,,,,,,3.0,1.25,0.0,""" 249""","""2021-08-12T09:01:49.000+08:00""","""""",
21,"""09:01:49.6040""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:01:49.000+08:00""","""""",
22,"""09:01:49.6040""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.22000026702881,0.0,"""6699""","""2021-08-12T09:01:49.000+08:00""","""""",
23,"""09:01:49.6050""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:01:49.000+08:00""","""""",
24,"""09:01:49.6060""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:01:49.000+08:00""","""""",
25,"""09:01:49.6070""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:01:49.000+08:00""","""""",
26,"""09:01:49.6070""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:01:49.000+08:00""","""""",
27,"""09:01:49.6083""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:01:49.000+08:00""","""""",
28,"""09:02:21.4425""",2660,TOP,NONE,ASK,REPLACE,,,1.0,1.36999988555908,0.0,"""8301""",,,,,"""2021-08-12T09:02:21.000+08:00""",,""""""
29,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,4.0,1.23999977111816,0.0,"""6699""","""2021-08-12T09:03:31.000+08:00""","""""",
30,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,5.0,1.23000049591064,0.0,"""6699""","""2021-08-12T09:03:31.000+08:00""","""""",
31,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,6.0,1.22000026702881,0.0,"""6699""","""2021-08-12T09:03:31.000+08:00""","""""",
32,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:03:31.000+08:00""","""""",
33,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:03:31.000+08:00""","""""",
34,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:03:31.000+08:00""","""""",
