Position,Price,Broker Code
1,1.26000022888184,"""8914"""
2,1.26000022888184,"""1292"""
3,1.25,""" 249"""
4,1.25,"""1799"""
5,1.25,"""8761"""
6,1.25,"""1799"""
7,1.25,"""8176"""
8,1.23999977111816,"""8468"""
9,1.23999977111816,"""2074"""
10,1.23000049591064,"""6699"""
11,1.23000049591064,"""8189"""
12,1.23000049591064,"""2074"""
13,1.22000026702881,"""6699"""
14,1.22000026702881,"""2074"""
15,1.21000003814697,"""6699"""
16,1.19999980926514,"""8306"""
17,1.19999980926514,"""2310"""
18,1.19999980926514,"""4663"""
19,1.15999984741211,"""6699"""
20,1.15000057220459,"""8730"""
21,1.11999988555908,"""6729"""
