,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,,
0,6/28/2023 09:30:02.718,2578,0.54,ASK,24000,New Order,10,,uSmart Securities Limited,,,,
1,6/28/2023 09:30:03.000,2992,0.49,BID,2000,Trade,1,,Zhongtai International Securities Limited,Passive,,,
2,6/28/2023 09:30:02.719,8303,0.45,BID,24000,New Order,22,,Futu Securities International (Hong Kong) Limited,,,,
3,6/28/2023 09:30:03.164,1978,0.55,ASK,190000,New Order,13,,Hafoo Securities Limited,,,,
4,6/28/2023 09:30:03.803,5666,0.52,ASK,100000,New Order,9,,OCBC Securities Brokerage (Hong Kong) Limited,,,,
5,6/28/2023 09:30:04.167,174,0.55,ASK,50000,New Order,15,,Long Bridge HK Limited,,,,
6,6/28/2023 09:30:05.182,8306,0.56,ASK,149000,New Order,16,,Futu Securities International (Hong Kong) Limited,,,,
7,6/28/2023 09:30:05.195,8303,0.57,ASK,285000,New Order,17,,Futu Securities International (Hong Kong) Limited,,,,
8,6/28/2023 09:30:05.205,8308,0.58,ASK,2222000,New Order,18,,Futu Securities International (Hong Kong) Limited,,,,
9,6/28/2023 09:30:12.590,5336,0.49,ASK,19000,New Order,1,,J.P. Morgan Broking (Hong Kong) Limited,,,,
10,6/28/2023 09:30:19.887,2992,0.49,BID,2000,Removed Order,1,,Zhongtai International Securities Limited,,,,
11,6/28/2023 09:30:22.896,8304,0.51,ASK,200000,New Order,9,,Futu Securities International (Hong Kong) Limited,,,,
12,6/28/2023 09:30:46.504,5336,0.49,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited,Passive,,,
13,6/28/2023 09:30:51.773,5336,0.49,ASK,2000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited,Passive,,,
14,6/28/2023 09:30:59.011,6107,0.4,BID,40000,New Order,30,,Guotai Junan Securities (Hong Kong) Limited,,,,
15,6/28/2023 09:30:59.448,2992,0.49,BID,1000,New Order,1,,Zhongtai International Securities Limited,,,,
16,6/28/2023 09:31:06.066,5336,0.49,ASK,2000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited,Passive,,,
17,6/28/2023 09:31:10.606,2992,0.49,BID,1000,Removed Order,1,,Zhongtai International Securities Limited,,,,
18,6/28/2023 09:31:19.422,5336,0.49,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited,Passive,,,
19,6/28/2023 09:31:25.994,5336,0.49,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited,Passive,,,
20,6/28/2023 09:34:28.515,4821,0.48,BID,208000,New Order,6,,Valuable Capital Limited,,,,
21,6/28/2023 09:36:57.416,8297,0.49,BID,30000,New Order,1,,Yue Xiu Securities Company Limited,,,,
22,6/28/2023 09:37:25.689,6107,0.48,BID,15000,Order Modified,9,,Guotai Junan Securities (Hong Kong) Limited,,,,
23,6/28/2023 09:40:05.459,8303,0.55,ASK,68000,New Order,18,,Futu Securities International (Hong Kong) Limited,,,,
24,6/28/2023 09:40:26.201,5336,0.49,ASK,12000,Removed Order,1,,J.P. Morgan Broking (Hong Kong) Limited,,,,
