,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MBO_SEQNUM_RT,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBO_ORDER_ID_RT,MBO_TABLE_ASK,MBO_TABLE_BID,MBL_TABLE_ASK,MBL_TABLE_BID
0,MARKET_BY_ORDER,TABLE_INITPAINT,7.30248E+11,HK,53714,ADD,MBO-AMD,1000,4,CLOB,DECIMAL,2,3,HKD,HKD,1000,2060 HK Equity.type=MBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MARKET_BY_ORDER,TABLE_INITPAINT,7.30248E+11,HK,14112,REPLACE,TOP-RBP,40,,TOPBROKER,DECIMAL,2,3,HKD,HKD,1000,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MARKET_BY_LEVEL,TABLE_INITPAINT,7.30248E+11,HK,14112,REPLACE,MBL-RBP,,,CLOB,DECIMAL,2,3,HKD,HKD,1000,2060 HK Equity.type=MBL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,1,0.475000024,,1,4000,00:00.1,,,,,,,,,,,,,,,,,,,,,
4,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,00:00.1,1,0.449999988,,1,9000,,,,,,,,,,,,,,,,
5,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,2,0.480000019,,1,6000,00:00.1,,,,,,,,,,,,,,,,,,,,,
6,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,00:00.1,1,0.465000033,,1,9000,,,,,,,,,,,,,,,,
7,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,00:00.1,2,0.449999988,,1,9000,,,,,,,,,,,,,,,,
8,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,00:00.1,1,0.470000029,,1,9000,,,,,,,,,,,,,,,,
9,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,00:00.1,2,0.465000033,,1,9000,,,,,,,,,,,,,,,,
10,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,00:00.1,3,0.449999988,,1,9000,,,,,,,,,,,,,,,,
11,MARKET_BY_LEVEL,ASK,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,3,0.485000014,,1,4000,00:00.1,,,,,,,,,,,,,,,,,,,,,
12,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,00:00.1,3,0.455000043,,1,9000,,,,,,,,,,,,,,,,
13,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,00:00.1,4,0.449999988,,1,9000,,,,,,,,,,,,,,,,
14,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,00:00.1,3,0.460000038,,1,9000,,,,,,,,,,,,,,,,
15,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,00:00.1,4,0.455000043,,1,9000,,,,,,,,,,,,,,,,
16,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,00:00.1,5,0.449999988,,1,9000,,,,,,,,,,,,,,,,
17,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,1,0.475000024,6104,,0,7/3/2023 01:00:00.000,,,,,,,,,,
18,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,2,0.480000019,6105,,0,7/3/2023 01:00:00.000,,,,,,,,,,
19,MARKET_BY_ORDER,ASK,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,3,0.485000014,6106,,0,7/3/2023 01:00:00.000,,,,,,,,,,
20,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 01:00:00.000,1,0.470000029,6107,,0,,,,,
21,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 01:00:00.000,2,0.465000033,6101,,0,,,,,
22,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 01:00:00.000,3,0.460000038,6102,,0,,,,,
23,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 01:00:00.000,4,0.455000043,6104,,0,,,,,
24,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 01:00:00.000,5,0.449999988,6105,,0,,,,,
25,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,00:00.2,6,0.444999993,,1,4000,,,,,,,,,,,,,,,,
26,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,7/3/2023 01:00:00.000,6,0.444999993,6106,,0,,,,,
