,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MBO_SEQNUM_RT,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MD_TABLE_CMD_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBO_ORDER_ID_RT
0,MARKET_BY_ORDER,TABLE_INITPAINT,7.30248E+11,HK,53714,MBO-AMD,1000,4,CLOB,DECIMAL,2,3,HKD,HKD,1000,2060 HK Equity.type=MBO,,,,,,,,,,,,,,,,,,,ADD,,,,,,,
1,MARKET_BY_LEVEL,TABLE_INITPAINT,7.30248E+11,HK,14112,MBL-RBP,,,CLOB,DECIMAL,2,3,HKD,HKD,1000,2060 HK Equity.type=MBL,10,,,,,,,,,,,,,,,,,,REPLACE,,,,,,,
2,MARKET_BY_ORDER,TABLE_INITPAINT,7.30248E+11,HK,14112,TOP-RBP,40,,TOPBROKER,DECIMAL,2,3,HKD,HKD,1000,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,,,,,,,
3,MARKET_BY_LEVEL,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,1,0.49000001,,1,4000,6/28/2023 01:00:00.062,,,,,,,,,,,REPLACE,,,,,,,
4,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.068,1,0.465000033,,1,9000,,,,,,REPLACE,,,,,,,
5,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.079,2,0.460000038,,1,9000,,,,,,REPLACE,,,,,,,
6,MARKET_BY_LEVEL,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,2,0.495000005,,1,2000,6/28/2023 01:00:00.081,,,,,,,,,,,REPLACE,,,,,,,
7,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.085,1,0.470000029,,1,9000,,,,,,REPLACE,,,,,,,
8,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.085,2,0.465000033,,1,9000,,,,,,REPLACE,,,,,,,
9,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.085,3,0.460000038,,1,9000,,,,,,REPLACE,,,,,,,
10,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.092,4,0.449999988,,1,7000,,,,,,REPLACE,,,,,,,
11,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.109,1,0.480000019,,1,6000,,,,,,REPLACE,,,,,,,
12,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.109,2,0.470000029,,1,9000,,,,,,REPLACE,,,,,,,
13,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.109,3,0.465000033,,1,9000,,,,,,REPLACE,,,,,,,
14,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.109,4,0.460000038,,1,9000,,,,,,REPLACE,,,,,,,
15,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.109,5,0.449999988,,1,7000,,,,,,REPLACE,,,,,,,
16,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.111,5,0.455000043,,1,7000,,,,,,REPLACE,,,,,,,
17,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.111,6,0.449999988,,1,7000,,,,,,REPLACE,,,,,,,
18,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,1,0.49000001,6105,,0,REPLACE,6/28/2023 01:00:00.000,,,,,,
19,MARKET_BY_ORDER,ASK,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,2,0.495000005,6106,,0,REPLACE,6/28/2023 01:00:00.000,,,,,,
20,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,1,0.480000019,6107,,0,
21,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,2,0.470000029,6102,,0,
22,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,3,0.465000033,6104,,0,
23,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,4,0.460000038,6105,,0,
24,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,5,0.455000043,6106,,0,
25,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,6,0.449999988,6107,,0,
26,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.136,2,0.475000024,,1,9000,,,,,,REPLACE,,,,,,,
27,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.136,3,0.470000029,,1,9000,,,,,,REPLACE,,,,,,,
28,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.136,4,0.465000033,,1,9000,,,,,,REPLACE,,,,,,,
29,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.136,5,0.460000038,,1,9000,,,,,,REPLACE,,,,,,,
30,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 01:00:00.136,6,0.455000043,,1,7000,,,,,,REPLACE,,,,,,,
31,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 01:00:00.136,7,0.449999988,,1,7000,,,,,,REPLACE,,,,,,,
32,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,2,0.475000024,6101,,0,
33,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,3,0.470000029,6102,,0,
34,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,4,0.465000033,6104,,0,
35,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 01:00:00.000,5,0.460000038,6105,,0,
